,,Cardiotocographic data,,,,,,,,,,,
,,2126 measurements and classifications of foetal heart rate (FHR) signals,,,,,,,,,,,
,,,,,,,,,,,,,
Worksheet,,Raw Data,,,,,,,Data (temporal features per unit time),,,,
,,,,,,,,,,,K-W,,DR is removed since p(K-W)=1
,,,,,,,,,Features,,chi-square,p,
Exam data,,FileName,of CTG examination,,,,,,LB,,243.5,0,
,,Date,of the examination,,,,,,AC,,1701.2,0,
,,b,start instant,,,,,,FM,,84.3,0,
,,e,end instant,,,,,,UC,,253.8,0,
Measurements,,LBE,baseline value (medical expert),,,,,,DL,,1336.1,0,
,,LB,baseline value (SisPorto),,,,,,DS,,96.4,0,
,,AC,accelerations (SisPorto),,,,,,DP,,975,0,
,,FM,foetal movement (SisPorto),,,,,,ASTV,,450.9,0,
,,UC,uterine contractions (SisPorto),,,,,,MSTV,,872.1,0,
,,ASTV,percentage of time with abnormal short term variability  (SisPorto),,,,,,ALTV,,879.8,0,
,,mSTV,mean value of short term variability  (SisPorto),,,,,,MLTV,,240.9,0,
,,ALTV,percentage of time with abnormal long term variability  (SisPorto),,,,,,Width,,842.4,0,
,,mLTV,mean value of long term variability  (SisPorto),,,,,,Min,,897,0,
,,DL,light decelerations,,,,,,Max,,471.4,0,
,,DS,severe decelerations,,,,,,Nmax,,509.4,0,
,,DP,prolongued decelerations,,,,,,Nzeros,,212.8,0,
,,DR,repetitive decelerations,,,,,,Mode,,349,0,
,,Width,histogram width,,,,,,Mean,,524.4,0,
,,Min,low freq. of the histogram,,,,,,Median,,416.9,0,
,,Max,high freq. of the histogram,,,,,,Variance,,1279.2,0,
,,Nmax,number of histogram peaks,,,,,,Tendency,,143.9,0,
,,Nzeros,number of histogram zeros,,,,,,,,,,
,,Mode,histogram mode,,,,,,,,,,
,,Mean,histogram mean,,,,,,,,,,
,,Median,histogram median,,,,,,,,,,
,,Variance,histogram variance,,,,,,,,,,
,,Tendency,histogram tendency: -1=left assymetric; 0=symmetric; 1=right assymetric,,,,,,,,,,
Classification,,A,calm sleep,,,,,,,,,,
,,B,REM sleep,,,,,,,,,,
,,C,calm vigilance,,,,,,,,,,
,,D,active vigilance,,,,,,,,,,
,,SH,shift pattern (A or Susp with shifts),,,,,,,,,,
,,AD,accelerative/decelerative pattern (stress situation),,,,,,,,,,
,,DE,decelerative pattern (vagal stimulation),,,,,,,,,,
,,LD,largely decelerative pattern,,,,,,,,,,
,,FS,flat-sinusoidal pattern (pathological state),,,,,,,,,,
,,SUSP,suspect pattern,,,,,,,,,,
,,CLASS,Class code (1 to 10) for classes A to SUSP,,,,,,,,,,
,,NSP,Normal=1; Suspect=2; Pathologic=3,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOURCE,,"J Bernardes, Faculdade de Medicina, Universidade do Porto, Porto, Portugal",,,,,,,,,,,
Reference: D Ayres de Campos et al. (2000) SisPorto 2.0 A Program for Automated Analysis of Cardiotocograms. J Matern Fetal Med 5:311-318,,,,,,,,,,,,,
